"symbol","name","price"
"NVDC34.SA","NVIDIA Corporation","19.49"
"AAPL34.SA","Apple Inc.","65.80"
"GOGL34.SA","Alphabet Inc.","126.11"
"GOGL35.SA","Alphabet Inc.","125.47"
"MSFT34.SA","Microsoft Corporation","80.84"
"AMZO34.SA","Amazon.com, Inc.","55.15"
"TSMC34.SA","Taiwan Semiconductor Manufacturing Company Limited","226.70"
"AVGO34.SA","Broadcom Inc.","23.60"
"M1TA34.SA","Meta Platforms, Inc.","110.99"
"TSLA34.SA","Tesla, Inc.","62.82"
"BERK34.SA","Berkshire Hathaway Inc.","124.20"
"WALM34.SA","Walmart Inc.","40.05"
"LILY34.SA","Eli Lilly and Company","161.29"
"EXXO34.SA","Exxon Mobil Corporation","106.37"
"VISA34.SA","Visa Inc.","79.37"
"A1ZN34.SA","AstraZeneca PLC","163.35"
"JNJB34.SA","Johnson & Johnson","83.29"
"ASML34.SA","ASML Holding N.V.","132.50"
"MSCD34.SA","Mastercard Incorporated","84.42"
"COWC34.SA","Costco Wholesale Corporation","127.06"
"MUTC34.SA","Micron Technology, Inc.","331.58"
"ORCL34.SA","Oracle Corporation","127.10"
"CHVX34.SA","Chevron Corporation","106.91"
"NFLX34.SA","Netflix, Inc.","9.63"
"P2LT34.SA","Palantir Technologies Inc.","274.90"
"ABBV34.SA","AbbVie Inc.","67.40"
"A1MD34.SA","Advanced Micro Devices, Inc.","143.31"
"CATP34.SA","Caterpillar Inc.","234.95"
"PGCO34.SA","The Procter & Gamble Company","53.47"
"HOME34.SA","The Home Depot, Inc.","61.79"
"COCA34.SA","The Coca-Cola Company","65.86"
"CSCO34.SA","Cisco Systems, Inc.","85.88"
"L1RC34.SA","Lam Research Corporation","29.99"
"GEOO34.SA","General Electric Company","1,541.18"
"BABA34.SA","Alibaba Group Holding Limited","24.09"
"MRCK34.SA","Merck & Co., Inc.","77.74"
"A1MT34.SA","Applied Materials, Inc.","192.71"
"N1VS34.SA","Novartis AG","79.04"
"H1SB34.SA","HSBC Holdings plc","106.20"
"TMCO34.SA","Toyota Motor Corporation","68.95"
"RYTT34.SA","RTX Corporation","170.34"
"PHMO34.SA","Philip Morris International Inc.","432.42"
"WFCO34.SA","Wells Fargo & Company","104.94"
"G2EV34.SA","GE VERNOVA  DRN ED","240.48"
"UNHH34.SA","UnitedHealth Group Incorporated","20.09"
"T1MU34.SA","T-Mobile US, Inc.","552.72"
"ITLC34.SA","Intel Corporation","40.86"
"IBMB34.SA","International Business Machines Corporation","1,254.96"
"MCDC34.SA","McDonald's Corporation","82.44"
"VERZ34.SA","Verizon Communications Inc.","43.72"
"PEPB34.SA","PepsiCo, Inc.","52.58"
"AXPB34.SA","American Express Company","157.11"
"JPMC34.SA","JPMorgan Chase & Co.","154.30"
"K1LA34.SA","KLA Corporation","2,013.24"
"ATTB34.SA","AT&T Inc.","49.99"
"SAPP34.SA","SAP SE","881.00"
"M1UF34.SA","Mitsubishi UFJ Financial Group, Inc.","89.10"
"AMGN34.SA","Amgen Inc.","65.99"
"NEXT34.SA","NextEra Energy, Inc.","119.27"
"ABTT34.SA","Abbott Laboratories","45.60"
"TMOS34.SA","Thermo Fisher Scientific Inc.","53.32"
"TJXC34.SA","The TJX Companies, Inc.","819.20"
"TEXA34.SA","Texas Instruments Incorporated","68.72"
"GILD34.SA","Gilead Sciences, Inc.","365.30"
"B1PP34.SA","BP p.l.c.","59.53"
"DISB34.SA","The Walt Disney Company","33.26"
"SSFO34.SA","Salesforce, Inc.","42.94"
"A1NE34.SA","Arista Networks, Inc.","174.60"
"SCHW34.SA","The Charles Schwab Corporation","62.29"
"COPH34.SA","ConocoPhillips","59.78"
"I1SR34.SA","Intuitive Surgical, Inc.","122.90"
"BCSA34.SA","Banco Santander, S.A.","58.15"
"N1VO34.SA","Novo Nordisk A/S","23.67"
"A1DI34.SA","Analog Devices, Inc.","849.52"
"A1PH34.SA","Amphenol Corporation","336.51"
"U1BE34.SA","Uber Technologies, Inc.","99.55"
"DEEC34.SA","Deere & Company","101.90"
"BOEI34.SA","The Boeing Company","1,044.44"
"PFIZ34.SA","Pfizer Inc.","35.57"
"BLAK34.SA","BlackRock, Inc.","78.66"
"S2HO34.SA","Shopify Inc.","5.14"
"E1TN34.SA","Eaton Corporation plc","140.34"
"P1DD34.SA","PDD Holdings Inc.","53.00"
"HONB34.SA","Honeywell International Inc.","1,179.72"
"LMTB34.SA","Lockheed Martin Corporation","3,217.08"
"RIOT34.SA","Rio Tinto Group","453.80"
"BKNG34.SA","Booking Holdings Inc.","128.00"
"QCOM34.SA","QUALCOMM Incorporated","56.85"
"ABUD34.SA","Anheuser-Busch InBev SA/NV","61.09"
"W1EL34.SA","Welltower Inc.","515.07"
"H1DB34.SA","HDFC Bank Limited","28.00"
"ULEV34.SA","Unilever PLC","319.04"
"DHER34.SA","Danaher Corporation","35.08"
"LOWC34.SA","Lowe's Companies, Inc.","61.50"
"PETR3.SA","Petróleo Brasileiro S.A. - Petrobras","52.24"
"C1BL34.SA","Chubb Limited","421.83"
"B1TI34.SA","British American Tobacco p.l.c.","60.85"
"D1EL34.SA","Dell Technologies Inc.","959.00"
"G1LW34.SA","Corning Incorporated","765.00"
"BOAC34.SA","Bank of America Corporation","63.48"
"S1YK34.SA","Stryker Corporation","85.50"
"BMYB34.SA","Bristol-Myers Squibb Company","300.08"
"BILB34.SA","Banco Bilbao Vizcaya Argentaria, S.A.","112.97"
"SNEC34.SA","Sony Group Corporation","108.01"
"SPGI34.SA","S&P Global Inc.","59.22"
"P1LD34.SA","Prologis, Inc.","57.00"
"ACNB34.SA","Accenture plc","1,000.00"
"UBSG34.SA","UBS Group AG","198.40"
"INTU34.SA","Intuit Inc.","50.71"
"IBKR34.SA","IB GROUP    DRN","22.44"
"P1GR34.SA","The Progressive Corporation","527.58"
"VRTX34.SA","Vertex Pharmaceuticals Incorporated","595.86"
"PETR4.SA","Petróleo Brasileiro S.A. - Petrobras","47.50"
"P1HC34.SA","Parker-Hannifin Corporation","1,185.17"
"CAON34.SA","Capital One Financial Corporation","474.96"
"MDTC34.SA","Medtronic plc","227.69"
"MOOO34.SA","Altria Group, Inc.","332.41"
"N1EM34.SA","Newmont Corporation","529.20"
"GSGI34.SA","The Goldman Sachs Group, Inc.","147.00"
"N1OW34.SA","ServiceNow, Inc.","10.70"
"H1CA34.SA","HCA Healthcare, Inc.","126.52"
"G1SK34.SA","GSK plc","55.92"
"M1CK34.SA","McKesson Corporation","1,149.97"
"SBUB34.SA","Starbucks Corporation","482.40"
"CHME34.SA","CME Group Inc.","386.28"
"CMCS34.SA","Comcast Corporation","29.95"
"PRXB31.SA","PROSUS N.V. DR1","25.30"
"B1SX34.SA","Boston Scientific Corporation","362.31"
"I1RP34.SA","Trane Technologies plc","1,140.33"
"W1DC34.SA","Western Digital Corporation","1,530.04"
"E1QN34.SA","Equinor ASA","105.65"
"DUKB34.SA","Duke Energy Corporation","670.00"
"NOCG34.SA","Northrop Grumman Corporation","722.02"
"ARNC34.SA","Howmet Aerospace Inc.","1,264.00"
"S1PO34.SA","Spotify Technology S.A.","620.36"
"ADBE34.SA","Adobe Inc.","24.74"
"EQIX34.SA","Equinix, Inc.","63.34"
"GDBR34.SA","General Dynamics Corporation","1,822.00"
"S1TX34.SA","Seagate Technology Holdings plc","2,158.63"
"ITUB3.SA","Itaú Unibanco Holding S.A.","41.99"
"CVSH34.SA","CVS Health Corporation","37.53"
"W1MC34.SA","Waste Management, Inc.","582.00"
"ITUB4.SA","Itaú Unibanco Holding S.A.","43.10"
"W1MB34.SA","The Williams Companies, Inc.","386.88"
"B1AM34.SA","Brookfield Corporation","52.15"
"M1TT34.SA","Marriott International, Inc.","425.70"
"FDXB34.SA","FedEx Corporation","1,863.54"
"Q1UA34.SA","Quanta Services, Inc.","247.50"
"N1GG34.SA","National Grid plc","73.92"
"M1MC34.SA","Marsh & McLennan Companies, Inc.","453.31"
"UPSS34.SA","United Parcel Service, Inc.","32.16"
"MELI34.SA","MercadoLibre, Inc.","71.34"
"BONY34.SA","The Bank of New York Mellon Corporation","615.66"
"FCXO34.SA","Freeport-McMoRan Inc.","99.61"
"J1CI34.SA","Johnson Controls International plc","699.12"
"ADPR34.SA","Automatic Data Processing, Inc.","44.12"
"E1OG34.SA","EOG Resources, Inc.","367.00"
"USBC34.SA","U.S. Bancorp","67.83"
"MCOR34.SA","Moody's Corporation","560.00"
"S1HW34.SA","The Sherwin-Williams Company","164.96"
"SLBG34.SA","SLB N.V.","135.85"
"AIRB34.SA","Airbnb, Inc.","34.35"
"NIKE34.SA","NIKE, Inc.","27.81"
"S1NP34.SA","Synopsys, Inc.","534.12"
"REGN34.SA","Regeneron Pharmaceuticals, Inc.","64.21"
"T1OW34.SA","American Tower Corporation","36.48"
"MMMC34.SA","3M Company","193.33"
"C1DN34.SA","Cadence Design Systems, Inc.","733.49"
