"symbol","name","price"
"NVDC34.SA","NVIDIA Corporation","18.83"
"AAPL34.SA","Apple Inc.","66.42"
"GOGL35.SA","Alphabet Inc.","122.40"
"GOGL34.SA","Alphabet Inc.","122.39"
"MSFT34.SA","Microsoft Corporation","80.23"
"AMZO34.SA","Amazon.com, Inc.","54.68"
"TSMC34.SA","Taiwan Semiconductor Manufacturing Company Limited","215.61"
"AVGO34.SA","Broadcom Inc.","23.28"
"TSLA34.SA","Tesla, Inc.","61.51"
"M1TA34.SA","Meta Platforms, Inc.","102.20"
"BERK34.SA","Berkshire Hathaway Inc.","124.69"
"WALM34.SA","Walmart Inc.","40.25"
"LILY34.SA","Eli Lilly and Company","157.91"
"EXXO34.SA","Exxon Mobil Corporation","108.14"
"VISA34.SA","Visa Inc.","80.02"
"JNJB34.SA","Johnson & Johnson","84.11"
"A1ZN34.SA","AstraZeneca PLC","160.01"
"ASML34.SA","ASML Holding N.V.","126.85"
"MSCD34.SA","Mastercard Incorporated","84.65"
"COWC34.SA","Costco Wholesale Corporation","129.22"
"CHVX34.SA","Chevron Corporation","109.61"
"ORCL34.SA","Oracle Corporation","125.30"
"NFLX34.SA","Netflix, Inc.","10.01"
"MUTC34.SA","Micron Technology, Inc.","310.27"
"ABBV34.SA","AbbVie Inc.","69.10"
"P2LT34.SA","Palantir Technologies Inc.","259.90"
"A1MD34.SA","Advanced Micro Devices, Inc.","134.61"
"PGCO34.SA","The Procter & Gamble Company","53.40"
"CSCO34.SA","Cisco Systems, Inc.","86.90"
"CATP34.SA","Caterpillar Inc.","229.80"
"HOME34.SA","The Home Depot, Inc.","61.35"
"COCA34.SA","The Coca-Cola Company","65.70"
"GEOO34.SA","General Electric Company","1,493.74"
"BABA34.SA","Alibaba Group Holding Limited","23.38"
"MRCK34.SA","Merck & Co., Inc.","78.17"
"N1VS34.SA","Novartis AG","79.04"
"TMCO34.SA","Toyota Motor Corporation","69.05"
"H1SB34.SA","HSBC Holdings plc","104.94"
"L1RC34.SA","Lam Research Corporation","25.39"
"A1MT34.SA","Applied Materials, Inc.","178.61"
"RYTT34.SA","RTX Corporation","169.15"
"PHMO34.SA","Philip Morris International Inc.","432.42"
"WFCO34.SA","Wells Fargo & Company","103.79"
"UNHH34.SA","UnitedHealth Group Incorporated","20.05"
"G2EV34.SA","GE VERNOVA  DRN ED","232.08"
"T1MU34.SA","T-Mobile US, Inc.","552.72"
"IBMB34.SA","International Business Machines Corporation","1,275.00"
"MCDC34.SA","McDonald's Corporation","81.33"
"ITLC34.SA","Intel Corporation","38.57"
"VERZ34.SA","Verizon Communications Inc.","44.52"
"PEPB34.SA","PepsiCo, Inc.","52.96"
"ATTB34.SA","AT&T Inc.","50.85"
"AXPB34.SA","American Express Company","155.97"
"JPMC34.SA","JPMorgan Chase & Co.","152.64"
"SAPP34.SA","SAP SE","878.00"
"K1LA34.SA","KLA Corporation","1,907.40"
"M1UF34.SA","Mitsubishi UFJ Financial Group, Inc.","88.35"
"NEXT34.SA","NextEra Energy, Inc.","119.61"
"AMGN34.SA","Amgen Inc.","65.99"
"TMOS34.SA","Thermo Fisher Scientific Inc.","53.45"
"ABTT34.SA","Abbott Laboratories","45.60"
"TJXC34.SA","The TJX Companies, Inc.","819.20"
"B1PP34.SA","BP p.l.c.","60.77"
"TEXA34.SA","Texas Instruments Incorporated","68.31"
"GILD34.SA","Gilead Sciences, Inc.","365.30"
"SSFO34.SA","Salesforce, Inc.","44.20"
"I1SR34.SA","Intuitive Surgical, Inc.","123.84"
"DISB34.SA","The Walt Disney Company","33.08"
"SCHW34.SA","The Charles Schwab Corporation","61.56"
"N1VO34.SA","Novo Nordisk A/S","24.12"
"COPH34.SA","ConocoPhillips","58.22"
"DEEC34.SA","Deere & Company","102.50"
"PFIZ34.SA","Pfizer Inc.","36.25"
"BCSA34.SA","Banco Santander, S.A.","56.71"
"A1DI34.SA","Analog Devices, Inc.","838.55"
"A1NE34.SA","Arista Networks, Inc.","162.75"
"BOEI34.SA","The Boeing Company","1,027.77"
"S2HO34.SA","Shopify Inc.","5.12"
"A1PH34.SA","Amphenol Corporation","324.70"
"BLAK34.SA","BlackRock, Inc.","76.89"
"U1BE34.SA","Uber Technologies, Inc.","92.64"
"LMTB34.SA","Lockheed Martin Corporation","3,267.51"
"HONB34.SA","Honeywell International Inc.","1,189.77"
"P1DD34.SA","PDD Holdings Inc.","52.74"
"E1TN34.SA","Eaton Corporation plc","136.15"
"QCOM34.SA","QUALCOMM Incorporated","57.27"
"BKNG34.SA","Booking Holdings Inc.","127.70"
"RIOT34.SA","Rio Tinto Group","449.33"
"ABUD34.SA","Anheuser-Busch InBev SA/NV","61.09"
"W1EL34.SA","Welltower Inc.","515.07"
"H1DB34.SA","HDFC Bank Limited","28.00"
"ULEV34.SA","Unilever PLC","314.90"
"DHER34.SA","Danaher Corporation","34.90"
"PETR3.SA","Petróleo Brasileiro S.A. - Petrobras","53.59"
"LOWC34.SA","Lowe's Companies, Inc.","61.50"
"C1BL34.SA","Chubb Limited","425.88"
"B1TI34.SA","British American Tobacco p.l.c.","60.97"
"SNEC34.SA","Sony Group Corporation","111.00"
"S1YK34.SA","Stryker Corporation","85.50"
"BOAC34.SA","Bank of America Corporation","63.15"
"BMYB34.SA","Bristol-Myers Squibb Company","300.08"
"SPGI34.SA","S&P Global Inc.","59.76"
